Datei	Quelle	Verwendung	Metadaten
music.mid	MUSIC.MID	Hintergrundmusik	"(C) 1996 by Lars Hammer  -  ""Magnetic Planet"" (5:02)  Der Titelsong zum gleichnamigen TDK-Spiel"
wave01.wav	WAVE.DAT	Robodog gewinnt	
wave02.wav	WAVE.DAT	Fressen/Aufnehmen	
wave03.wav	WAVE.DAT	Hydrant gewinnt	
wave04.wav	WAVE.DAT	Kampf	
wave05.wav	WAVE.DAT	Ölkanne gefressen	
wave06.wav	WAVE.DAT	Kampf auf Strategiekarte	
wave07.wav	WAVE.DAT	Montieren	
wave08.wav	WAVE.DAT	Roboter gewinnt	
wave09.wav	WAVE.DAT	Diskette gefressen	
