Datei	Quelle	Verwendung	Metadaten
midi01.mid	MUSIC.DAT	Intro und Startmenü	Q-POP by K.-L. von Wendt
midi02.mid	MUSIC.DAT	Kiwiopteryx	Q-POP by K.-L. von Wendt
midi03.mid	MUSIC.DAT	Amorph	Q-POP by K.-L. von Wendt
midi04.mid	MUSIC.DAT	Chuckberry	Q-POP by Lars Hammer
midi05.mid	MUSIC.DAT	Abspann	Q-POP CREDITS by Lars Hammer
midi06.mid	MUSIC.DAT	Pesciodyphus	Q-POP by K.-L. von Wendt
midi07.mid	MUSIC.DAT	???	Q-POP by Lars Hammer
midi08.mid	MUSIC.DAT	Purplus	Q-POP by Lars Hammer
midi09.mid	MUSIC.DAT	Katastrophe	---
midi10.mid	MUSIC.DAT	Bewertung	Q-POP by K.-L. v. Wendt
midi11.mid	MUSIC.DAT	Isnobug	Q-POP by K.-L. von Wendt
qpop.mid	QPOP.MID	???	Q-POP by K.-L. v. Wendt
wave01.wav	WAVE.DAT	???	
wave02.wav	WAVE.DAT	???	
wave03.wav	WAVE.DAT	Fressen Kiwiopteryx	
wave04.wav	WAVE.DAT	Sex	
wave05.wav	WAVE.DAT	???	
wave06.wav	WAVE.DAT	???	
wave07.wav	WAVE.DAT	???	
wave08.wav	WAVE.DAT	???	
wave09.wav	WAVE.DAT	Kampf auf Übersichtskarte	
wave10.wav	WAVE.DAT	???	
wave11.wav	WAVE.DAT	???	
wave12.wav	WAVE.DAT	???	
wave13.wav	WAVE.DAT	???	
wave14.wav	WAVE.DAT	???	
wave15.wav	WAVE.DAT	???	
wave16.wav	WAVE.DAT	???	
wave17.wav	WAVE.DAT	???	
wave18.wav	WAVE.DAT	???	
wave19.wav	WAVE.DAT	???	
wave20.wav	WAVE.DAT	???	
wave21.wav	WAVE.DAT	Kampf in Überlebensphase	
wave22.wav	WAVE.DAT	???	
wave23.wav	WAVE.DAT	???	
wave24.wav	WAVE.DAT	???	
wave25.wav	WAVE.DAT	???	
wave26.wav	WAVE.DAT	???	
wave27.wav	WAVE.DAT	???	
wave28.wav	WAVE.DAT	???	
wave29.wav	WAVE.DAT	???	
wave30.wav	WAVE.DAT	???	
wave31.wav	WAVE.DAT	???	
